,altitude,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,speed,timestamp,unknown_87,unknown_88,lat,long
0,2724,60,0.0,44.799999999999955,1.176,0.0,90,299166403,1446700383,1176,2019-05-02 09:05:16,0,100,25.075838221237063,121.2610252853483
1,2725,60,0.0,45.0,0.504,0.0,92,299166466,1446700417,504,2019-05-02 09:05:17,0,100,25.07584350183606,121.26102813519537
2,2726,60,0.42,45.200000000000045,0.504,0.0,92,299166413,1446700435,504,2019-05-02 09:05:18,0,100,25.07583905942738,121.26102964393795
3,2730,60,0.89,46.0,0.532,0.0,91,299166508,1446700520,532,2019-05-02 09:05:19,0,100,25.075847022235394,121.26103676855564
4,2729,60,0.89,45.799999999999955,0.644,0.0,91,299166564,1446700509,644,2019-05-02 09:05:20,0,100,25.07585171610117,121.26103584654629
5,2729,60,1.0,45.799999999999955,0.672,0.0,91,299166615,1446700516,672,2019-05-02 09:05:21,0,100,25.075855990871787,121.26103643327951
6,2728,60,1.27,45.60000000000002,0.681,0.0,92,299166637,1446700544,681,2019-05-02 09:05:22,0,100,25.075857834890485,121.2610387802124
7,2727,60,1.66,45.39999999999998,0.7,0.0,91,299166570,1446700593,700,2019-05-02 09:05:23,0,100,25.07585221901536,121.26104288734496
8,2727,83,2.77,45.39999999999998,0.728,0.5,91,299166446,1446700711,728,2019-05-02 09:05:24,0,100,25.075841825455427,121.2610527779907
9,2725,83,4.31,45.0,0.998,0.5,92,299166350,1446700862,998,2019-05-02 09:05:25,0,100,25.075833778828382,121.26106543466449
10,2724,82,6.36,44.799999999999955,1.269,0.5,92,299166218,1446701057,1269,2019-05-02 09:05:26,0,100,25.075822714716196,121.26108177937567
11,2728,82,9.06,45.60000000000002,1.997,0.5,93,299165989,1446701261,1997,2019-05-02 09:05:27,0,100,25.075803520157933,121.26109887845814
12,2725,83,11.39,45.0,2.286,0.5,95,299165761,1446701408,2286,2019-05-02 09:05:28,0,100,25.075784409418702,121.2611111998558
13,2728,83,14.15,45.60000000000002,2.314,0.5,95,299165588,1446701673,2314,2019-05-02 09:05:29,0,100,25.075769908726215,121.26113341189921
14,2726,83,16.97,45.200000000000045,2.342,0.5,95,299165464,1446701980,2342,2019-05-02 09:05:30,0,100,25.075759515166283,121.26115914434195
15,2724,83,19.78,44.799999999999955,2.398,0.5,97,299165283,1446702251,2398,2019-05-02 09:05:31,0,100,25.075744343921542,121.26118185929954
16,2729,83,23.09,45.799999999999955,2.454,0.5,101,299165101,1446702588,2454,2019-05-02 09:05:32,0,100,25.07572908885777,121.26121010631323
17,2730,84,25.93,46.0,2.454,0.5,106,299164931,1446702868,2454,2019-05-02 09:05:33,0,100,25.07571483962238,121.26123357564211
18,2730,84,29.06,46.0,2.454,0.5,111,299164751,1446703181,2454,2019-05-02 09:05:34,0,100,25.07569975219667,121.26125981099904
19,2729,83,31.22,45.799999999999955,2.389,0.5,113,299164619,1446703392,2389,2019-05-02 09:05:35,0,100,25.075688688084483,121.26127749681473
20,2728,83,33.23,45.60000000000002,2.249,0.5,115,299164420,1446703509,2249,2019-05-02 09:05:36,0,100,25.075672008097172,121.26128730364144
21,2728,84,35.24,45.60000000000002,2.183,0.5,118,299164323,1446703722,2183,2019-05-02 09:05:37,0,100,25.075663877651095,121.2613051570952
22,2728,84,37.25,45.60000000000002,2.155,0.5,117,299164371,1446703955,2155,2019-05-02 09:05:38,0,100,25.075667900964618,121.26132468692958
23,2728,84,39.75,45.60000000000002,2.155,0.5,117,299164561,1446704179,2155,2019-05-02 09:05:39,0,100,25.075683826580644,121.26134346239269
24,2728,83,43.11,45.60000000000002,2.165,0.5,120,299164854,1446704430,2165,2019-05-02 09:05:40,0,100,25.075708385556936,121.26136450096965
25,2728,82,46.01,45.60000000000002,2.23,0.5,120,299165077,1446704670,2230,2019-05-02 09:05:41,0,100,25.07572707720101,121.26138461753726
26,2728,82,49.86,45.60000000000002,2.267,0.5,120,299165397,1446704965,2267,2019-05-02 09:05:42,0,100,25.075753899291158,121.26140934415162
27,2729,83,52.12,45.799999999999955,2.333,0.5,119,299165543,1446705178,2333,2019-05-02 09:05:43,227,100,25.075766136869788,121.26142719760537
28,2729,83,55.13,45.799999999999955,2.333,0.5,120,299165754,1446705453,2333,2019-05-02 09:05:44,0,100,25.07578382268548,121.2614502478391
29,2729,84,58.04,45.799999999999955,2.37,0.5,123,299165918,1446705745,2370,2019-05-02 09:05:45,0,100,25.07579756900668,121.26147472299635
30,2729,84,60.4,45.799999999999955,2.398,0.5,123,299166000,1446706014,2398,2019-05-02 09:05:46,0,100,25.075804442167282,121.26149727031589
31,2729,84,63.35,45.799999999999955,2.398,0.5,123,299166189,1446706295,2398,2019-05-02 09:05:47,0,100,25.075820283964276,121.2615208234638
32,2730,84,65.96,46.0,2.417,0.5,125,299166320,1446706570,2417,2019-05-02 09:05:48,0,100,25.07583126425743,121.26154387369752
33,2730,84,68.92,46.0,2.417,0.5,127,299166471,1446706879,2417,2019-05-02 09:05:49,0,100,25.07584392093122,121.26156977377832
34,2730,84,71.95,46.0,2.435,0.5,128,299166677,1446707157,2435,2019-05-02 09:05:50,0,100,25.075861187651753,121.26159307546914
35,2730,84,74.64,46.0,2.463,0.5,133,299166847,1446707416,2463,2019-05-02 09:05:51,0,100,25.075875436887145,121.26161478459835
36,2730,84,77.16,46.0,2.463,0.5,133,299167019,1446707646,2463,2019-05-02 09:05:52,0,100,25.0758898537606,121.26163406297565
37,2730,84,79.67,46.0,2.463,0.5,133,299167204,1446707864,2463,2019-05-02 09:05:53,0,100,25.075905360281467,121.26165233552456
38,2730,84,82.5,46.0,2.463,0.5,132,299167448,1446708066,2463,2019-05-02 09:05:54,0,100,25.075925812125206,121.26166926696897
39,2730,83,85.36,46.0,2.463,0.5,131,299167684,1446708285,2463,2019-05-02 09:05:55,0,100,25.07594559341669,121.26168762333691
40,2730,83,88.49,46.0,2.482,0.5,130,299167950,1446708511,2482,2019-05-02 09:05:56,0,100,25.075967889279127,121.26170656643808
